source_system,incident_id,report_date,year,state,system_type,cause_text,type_of_disturbance,customers_affected,fatalities,injuries,property_damage_usd,control_telecom_categories,control_or_telecom_involved
OE-417,OE417-2018-0052,03/28/2018,2018,Washington: Walla Walla County;,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,1185,,,,scada,True
OE-417,OE417-2018-0053,04/03/2018,2018,California:,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0054,04/04/2018,2018,New York:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",72896,,,,not control-system/telecom related,False
OE-417,OE417-2018-0055,04/05/2018,2018,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",65932,,,,not control-system/telecom related,False
OE-417,OE417-2018-0056,04/09/2018,2018,Washington: Walla Walla County;,grid,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism; Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,0,,,,scada,True
OE-417,OE417-2018-0057,04/09/2018,2018,Utah: Salt Lake County;,grid,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,57000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0058,04/09/2018,2018,Utah:,grid,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,Transmission Interruption; Uncontrolled loss of 300 Megawatts or more of firm system loads for more than 15 minutes from a single incident,250000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0059,04/09/2018,2018,Florida: Palm Beach County;,grid,Sabotage; Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,Sabotage; Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,27000,,,,not control-system/telecom related,False
OE-417,OE417-2018-0060,04/14/2018,2018,Louisiana: Arkansas: Mississippi: Texas:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",56350,,,,not control-system/telecom related,False
OE-417,OE417-2018-0061,04/15/2018,2018,Michigan:,grid,"Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more","Severe Weather; Loss of electric service to more than 50,000 customers for 1 hour or more",389591,,,,not control-system/telecom related,False
