Event ID,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Geographic Areas,NERC Region,Event Type,Alert Criteria,Demand Loss (MW),Number of Customers Affected,Number of Fatalities,Number of Injuries,Estimated Cost,oe417_source_year,oe417_source_sheet
OE417-2011-0076,2011-04-21 00:00:00,07:15:00,2011-04-21 00:00:00,16:50:00,"Oquirrh Substation, Salt Lake City, Utah",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0077,2011-04-21 00:00:00,19:00:00,2011-04-29 00:00:00,19:05:00,"Trenton, Michigan",RFC,Suspicious Activity,,UNK,UNK,,,,2011,2011
OE417-2011-0078,2011-04-22 00:00:00,21:00:00,2011-04-22 00:00:00,23:00:00,"Metro St. Louis area, Missouri",SERC,Severe Weather,,0,55000,,,,2011,2011
OE417-2011-0079,2011-04-25 00:00:00,16:33:00,2011-04-25 00:00:00,17:19:00,Northeast Tennessee,SERC,Equipment Malfunction,,140,UNK,,,,2011,2011
OE417-2011-0080,2011-04-25 00:00:00,17:30:00,2011-04-27 00:00:00,18:00:00,"Arkansas, Louisiana, Mississippi",SPP,Severe Weather,,UNK,141700,,,,2011,2011
OE417-2011-0081,2011-04-26 00:00:00,05:49:00,2011-04-27 00:00:00,09:59:00,Southern Louisiana,SPP,Severe Weather,,120,UNK,,,,2011,2011
OE417-2011-0082,2011-04-26 00:00:00,09:51:00,2011-04-28 00:00:00,09:51:00,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,,UNK,55000,,,,2011,2011
OE417-2011-0083,2011-04-26 00:00:00,13:04:00,2011-04-26 00:00:00,14:00:00,"Salt Lake City, Utah",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0084,2011-04-26 00:00:00,18:14:00,2011-04-28 00:00:00,17:00:00,Eastern Arkansas,SPP,Severe Weather,,50,13000,,,,2011,2011
OE417-2011-0085,2011-04-27 00:00:00,08:00:00,2011-05-02 00:00:00,16:03:00,"Alabama, Florida, Georgia, Mississippi",SERC,Severe Weather,,1422,426640,,,,2011,2011
OE417-2011-0086,2011-04-27 00:00:00,10:00:00,2011-04-29 00:00:00,16:29:00,"Alabama, Georgia, Mississippi, Tennessee",SERC,Severe Weather,,UNK,612000,,,,2011,2011
OE417-2011-0087,2011-04-27 00:00:00,22:00:00,2011-04-28 00:00:00,10:00:00,"Ohio, Tennessee, Virginia",SERC,Severe Weather,,0,69000,,,,2011,2011
OE417-2011-0088,2011-04-28 00:00:00,05:00:00,2011-04-30 00:00:00,18:30:00,"Cleveland area, Ohio",RFC,Severe Weather,,UNK,86000,,,,2011,2011
OE417-2011-0089,2011-04-28 00:00:00,16:09:00,2011-04-28 00:00:00,16:10:00,"Phoenix, Arizona",WECC,Equipment Malfunction,,960,UNK,,,,2011,2011
OE417-2011-0090,2011-05-02 00:00:00,17:06:00,2011-05-02 00:00:00,20:00:00,Hawaii,,Severe Weather,,220,62000,,,,2011,2011
OE417-2011-0091,2011-05-02 00:00:00,14:00:00,2011-05-02 00:00:00,14:00:00,"West River Substation, New Haven, Connecticut",NPCC,Suspected Physical Attack,,0,0,,,,2011,2011
OE417-2011-0092,2011-05-02 00:00:00,08:52:00,2011-05-02 00:00:00,10:46:00,"N. Ogden Substation, Ogden, Utah",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0093,2011-05-03 00:00:00,12:00:00,2011-05-05 00:00:00,12:00:00,"St. Lawrence Power Dam, New York",NPCC,Suspected Physical Attack,,0,0,,,,2011,2011
OE417-2011-0094,2011-05-04 00:00:00,13:08:00,2011-05-04 00:00:00,13:25:00,Maryland,RFC,Suspected Physical Attack,,0,0,,,,2011,2011
OE417-2011-0095,2011-05-04 00:00:00,12:20:00,2011-05-04 00:00:00,15:40:00,Michigan,RFC,Suspected Sabotage,,0,0,,,,2011,2011
OE417-2011-0096,2011-05-05 00:00:00,09:15:00,2011-05-05 00:00:00,09:15:00,New Hampshire,NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0097,2011-05-06 00:00:00,06:56:00,2011-05-06 00:00:00,10:30:00,"Alderwood Substation, Portland, Oregon",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0098,2011-05-08 00:00:00,19:35:00,2011-05-08 00:00:00,19:35:00,New York,NPCC,Vandalism,,UNK,0,,,,2011,2011
OE417-2011-0099,2011-05-09 00:00:00,13:11:00,2011-05-09 00:00:00,13:11:00,"Milton, New Hampshire",NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0100,2011-05-09 00:00:00,04:08:00,2011-05-09 00:00:00,06:40:00,"Holtwood, Pennsylvania",RFC,Suspected Physical Attack,,630,UNK,,,,2011,2011
OE417-2011-0101,2011-05-10 00:00:00,22:21:00,2011-05-11 00:00:00,14:25:00,"Kentucky, West Virginia",RFC,Severe Weather,,UNK,58000,,,,2011,2011
OE417-2011-0102,2011-05-10 00:00:00,13:45:00,2011-05-10 00:00:00,15:00:00,New Hampshire,NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0103,2011-05-10 00:00:00,03:25:00,2011-05-11 00:00:00,14:10:00,"Upper Peninsula, Michigan",RFC,Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),,585,78213,,,,2011,2011
OE417-2011-0104,2011-05-11 00:00:00,15:55:00,2011-05-12 00:00:00,13:57:00,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,Vandalism,,0,0,,,,2011,2011
OE417-2011-0105,2011-05-11 00:00:00,13:35:00,2011-05-11 00:00:00,13:35:00,"Green River, Wyoming",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0106,2011-05-11 00:00:00,11:00:00,2011-05-11 00:00:00,11:30:00,"North Chelsea Substation, New York",NPCC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0107,2011-05-11 00:00:00,00:15:00,2011-05-11 00:00:00,17:20:00,"Charlotte, North Carolina",SERC,Severe Weather,,300,71000,,,,2011,2011
OE417-2011-0108,2011-05-13 00:00:00,06:00:00,2011-05-13 00:00:00,06:00:00,"Salt Lake, Utah",WECC,Vandalism,,0,0,,,,2011,2011
OE417-2011-0109,2011-05-21 00:00:00,17:00:00,2011-05-22 00:00:00,18:34:00,"Dixie Valley Area, Nevada",WECC,Physical Attack,,56,UNK,,,,2011,2011
OE417-2011-0110,2011-05-22 00:00:00,17:09:00,2011-05-31 00:00:00,12:01:00,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,Severe Weather,,200,20000,,,,2011,2011
OE417-2011-0111,2011-05-23 00:00:00,16:45:00,2011-05-25 00:00:00,23:59:00,"Central, Indiana",RFC,Severe Weather,,1024,215387,,,,2011,2011
OE417-2011-0112,2011-05-23 00:00:00,12:30:00,2011-05-25 00:00:00,12:30:00,"St. Louis County, Missouri",SERC,Severe Weather,,UNK,70000,,,,2011,2011
OE417-2011-0113,2011-05-24 00:00:00,16:45:00,2011-05-26 00:00:00,17:00:00,Central Oklahoma,SPP,Severe Weather,,UNK,54000,,,,2011,2011
OE417-2011-0114,2011-05-24 00:00:00,16:35:00,2011-05-25 00:00:00,12:40:00,Eastern Virginia,SERC,Severe Weather,,790,175000,,,,2011,2011
OE417-2011-0115,2011-05-24 00:00:00,09:00:00,2011-05-25 00:00:00,09:10:00,"Chicago, Illinois",RFC,Physical Attack,,0,0,,,,2011,2011
OE417-2011-0116,2011-05-25 00:00:00,22:14:00,2011-05-28 00:00:00,11:00:00,Central Indiana,RFC,Severe Weather,,200,141000,,,,2011,2011
OE417-2011-0117,2011-05-26 00:00:00,19:56:00,2011-05-27 00:00:00,18:00:00,Central Pennsylvania,RFC,Severe Weather,,150,120001,,,,2011,2011
OE417-2011-0118,2011-05-26 00:00:00,18:30:00,2011-05-28 00:00:00,04:44:00,"Southern Balancing Area, Georgia",SERC,Severe Weather,,729,218783,,,,2011,2011
OE417-2011-0119,2011-05-26 00:00:00,01:00:00,2011-05-26 00:00:00,06:00:00,"Greenwood, Mississippi",SERC,Transmission Level Interruption,,30,10000,,,,2011,2011
OE417-2011-0120,2011-05-29 00:00:00,18:30:00,2011-05-31 00:00:00,22:00:00,"Mid and Southern Lower Peninsula, Michigan",RFC,Severe Weather,,250,113000,,,,2011,2011
OE417-2011-0121,2011-06-02 00:00:00,23:45:00,2011-06-04 00:00:00,16:00:00,"Greater Columbia, South Carolina",SERC,Severe Weather,,0,50465,,,,2011,2011
OE417-2011-0122,2011-06-04 00:00:00,01:17:00,2011-06-04 00:00:00,03:25:00,"Midway, California",WECC,Vandalism,,UNK,420,,,,2011,2011
OE417-2011-0123,2011-06-05 00:00:00,05:30:00,2011-06-06 00:00:00,01:30:00,"Houston Metro-Area, Texas",TRE,Severe Thunderstorms,,473,78000,,,,2011,2011
OE417-2011-0124,2011-06-05 00:00:00,20:02:00,2011-06-05 00:00:00,20:55:00,"Melones, California",WECC,Electrical System Separation (Islanding),,10,5314,,,,2011,2011
OE417-2011-0125,2011-06-06 00:00:00,00:13:00,2011-06-06 00:00:00,03:15:00,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,Load Shed/ Automatic undervoltage relay action,,450,162000,,,,2011,2011
OE417-2011-0126,2011-06-06 00:00:00,15:00:00,2011-06-08 00:00:00,15:00:00,"Eastern, Arkansas",SPP,Public Appeal to Reduce Electricity Usage,,UNK,13000,,,,2011,2011
OE417-2011-0127,2011-06-07 00:00:00,14:00:00,2011-06-08 00:00:00,06:00:00,Ohio,RFC,Severe Weather,,UNK,52747,,,,2011,2011
OE417-2011-0128,2011-06-08 00:00:00,12:58:00,2011-06-08 00:00:00,12:58:00,"Fredrickson Substation, Washington",WECC,Vandalism,,,,,,,2011,2011
