,,"OE-417 Electric Emergency and Disturbance (OE-417) Events, 2023",,,,,,,,,
Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2023,January,01/28/2023,4:00 AM,01/28/2023,5:00 AM,Illinois: Franklin County;,SERC/RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
2023,January,01/29/2023,8:19 AM,01/29/2023,11:07 AM,Kentucky:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2023,January,01/30/2023,10:30 AM,Unknown,Unknown,Minnesota:,MRO,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,Unknown,Unknown
2023,January,01/31/2023,8:15 AM,02/06/2023,5:00 PM,"Texas: Dallas County, Anderson County, Bosque County, Collin County, Comanche County, Cooke County, Delta County, Denton County, Ellis County, Erath County, Fannin County, Freestone County, Hamilton County, Henderson County, Hill County, Hood County, Hopkins County, Hunt County, Jack County, Johnson County, Kaufman County, Lamar County, Navarro County, Palo Pinto County, Parker County, Rains County, Red River County, Rockwall County, Somervell County, Tarrant County, Van Zandt County, Wichita County, Wise County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,360000
2023,February,02/01/2023,5:00 AM,02/04/2023,10:39 PM,Texas: Travis County;,TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,370,173879
2023,February,02/02/2023,10:07 PM,02/03/2023,4:08 PM,Colorado:,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,February,02/02/2023,11:00 AM,Unknown,Unknown,Pennsylvania: Westmoreland County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/02/2023,8:15 AM,02/02/2023,7:45 PM,Arkansas: Mississippi: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,74426
2023,February,02/02/2023,2:37 PM,02/02/2023,2:47 PM,Maryland: Cecil County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/03/2023,4:00 PM,02/03/2023,4:45 PM,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,0,0
2023,February,02/04/2023,11:14 AM,02/04/2023,12:55 PM,Ohio: Gallia County;,RF,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,2000,Unknown
2023,February,02/06/2023,5:06 PM,02/06/2023,5:31 PM,Florida: Hillsborough County;,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2023,February,02/06/2023,10:00 AM,02/06/2023,10:02 AM,Maryland:,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/07/2023,1:34 PM,02/07/2023,2:06 PM,Wisconsin: La Crosse County;,MRO,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2023,February,02/07/2023,6:15 AM,02/07/2023,6:20 AM,Illinois: DuPage County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/07/2023,8:30 AM,Unknown,Unknown,New York: Queens County;,NPCC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/08/2023,1:30 PM,02/08/2023,2:00 PM,Pennsylvania: Lawrence County;,RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/11/2023,11:17 AM,02/11/2023,6:20 PM,Texas: Taylor County;,TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2023,February,02/13/2023,9:50 PM,02/14/2023,2:24 AM,California: San Diego County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
2023,February,02/13/2023,5:27 AM,02/13/2023,3:00 PM,Wisconsin: Chippewa County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,February,02/15/2023,2:25 PM,02/15/2023,2:30 PM,Florida: Clay County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/18/2023,12:00 AM,02/18/2023,12:05 AM,Oklahoma: Kay County;,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/19/2023,8:18 AM,02/19/2023,12:15 PM,California: Riverside County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,February,02/21/2023,9:45 AM,Unknown,Unknown,Texas: Cameron County;,TRE,Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0
2023,February,02/21/2023,5:27 AM,02/21/2023,6:41 AM,Florida: Hillsborough County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2023,February,02/21/2023,1:14 PM,02/21/2023,2:36 PM,Florida: Orange County;,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,Unknown,2547
2023,February,02/22/2023,6:41 PM,02/25/2023,4:12 PM,"Michigan: Van Buren County, Kalamazoo County, St. Joseph County, Calhoun County, Branch County, Hillsdale County, Jackson County, Washtenaw County, Monroe County, Lenawee County, Ingham County, Barry County, Allegan County, Ottawa County, Eaton County, Ingham County, Shiawassee County, Clinton County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,261043
2023,February,02/22/2023,6:30 PM,Unknown,Unknown,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,6200,623358
2023,February,02/22/2023,4:00 PM,02/22/2023,4:01 PM,South Dakota:,MRO,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/23/2023,4:30 AM,02/23/2023,1:00 PM,"Wisconsin: Kenosha County, Racine County, Milwaukee County, Walworth County, Jefferson County, Waukesha County; Michigan:",MRO,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,143,57000
2023,February,02/23/2023,8:50 AM,02/23/2023,12:38 PM,Colorado: Larimer County;,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,0,0
2023,February,02/24/2023,12:29 PM,02/24/2023,12:45 PM,Florida: Pasco County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,February,02/25/2023,12:08 AM,02/26/2023,6:08 PM,California: Los Angeles County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,153555
2023,February,02/26/2023,2:08 PM,02/26/2023,3:13 PM,North Carolina:,SERC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,Unknown,Unknown
2023,February,02/27/2023,1:25 PM,02/27/2023,11:59 PM,"Michigan: Newaygo County, Oceana County, Ionia County, Montcalm County, Jackson County, Van Buren County, Washtenaw County, Hillsdale County, Lenawee County;",RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,76000
2023,February,02/28/2023,8:00 AM,02/28/2023,8:30 AM,Wisconsin: Outagamie County;,MRO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Vandalism,14,0
2023,March,03/01/2023,12:00 AM,03/01/2023,12:41 AM,Indiana: Hamilton County;,MRO,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2023,March,03/02/2023,7:00 PM,03/04/2023,11:00 PM,"Texas: Montague County, Cooke County, Grayson County, Fannin County, Lamar County, Young County, Jack County, Wise County, Denton County, Collin County, Hunt County, Delta County, Hopkins County, Stephens County, Palo Pinto County, Parker County, Tarrant County, Dallas County, Rockwall County, Kaufman County, Van Zandt County, Rains County, Eastland County, Erath County, Hood County, Somervell County, Johnson County, Ellis County, Henderson County, Comanche County, Mills County, Hamilton County, Bosque County, Hill County, Navarro County, Freestone County, Anderson County, Lampasas County, Coryell County, Bell County, McLennan County, Falls County, Limestone County, Leon County, Milam County, Robertson County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,470000
2023,March,03/03/2023,1:45 PM,03/03/2023,1:50 PM,Illinois: Cook County;,SERC/RF,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,March,03/03/2023,9:45 AM,03/03/2023,9:50 AM,Mississippi:,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,38,12014
2023,March,03/03/2023,8:00 AM,03/03/2023,8:01 AM,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
2023,March,03/03/2023,3:40 PM,Unknown,Unknown,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Wise County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,346000
2023,March,03/03/2023,7:28 PM,03/03/2023,8:54 PM,Ohio: Kentucky:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,57186
2023,March,03/03/2023,2:00 PM,03/04/2023,4:00 AM,Tennessee: Davidson County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,115000
2023,March,03/03/2023,5:50 PM,03/05/2023,12:01 PM,Michigan:,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,0,200000
2023,March,03/03/2023,12:45 PM,03/03/2023,10:42 PM,Alabama: Georgia: Mississippi:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,346,48384
2023,March,03/03/2023,3:40 PM,Unknown,Unknown,"Kentucky: Oldham County, Jefferson County, Fayette County, Franklin County, Hardin County, Hart County, Hopkins County, Jessamine County, Muhlenberg County, Nelson County, Scott County, Shelby County, Spencer County, Washington County, Woodford County, Bullitt County, Meade County, Lyon County, LaRue County, Henry County, Grayson County, Boyle County, Christian County, Anderson County; Virginia: Williamsburg, City of[23], Wise County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
2023,March,03/04/2023,7:05 AM,03/04/2023,7:06 AM,Louisiana:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption,965,33
2023,March,03/04/2023,7:05 AM,03/04/2023,7:06 AM,Louisiana:,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident,Transmission Interruption,800,Unknown
2023,March,03/05/2023,8:03 PM,03/06/2023,3:38 PM,Georgia: Fulton County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,March,03/05/2023,11:53 AM,03/06/2023,7:51 AM,"West Virginia: Randolph County, Barbour County;",RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/06/2023,4:18 PM,03/06/2023,5:30 PM,Virginia: Orange County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,1,0
2023,March,03/07/2023,11:00 AM,03/07/2023,3:45 PM,Texas: Lubbock County; New Mexico:,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
2023,March,03/07/2023,10:26 AM,03/07/2023,2:42 PM,Texas: Lubbock County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
2023,March,03/08/2023,12:02 AM,Unknown,Unknown,Texas: Bee County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/08/2023,1:00 AM,03/08/2023,2:00 AM,Indiana: Hendricks County;,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/09/2023,6:00 PM,03/10/2023,6:00 PM,"Wisconsin: Walworth County, Waukesha County, Milwaukee County, Racine County, Ozaukee County, Kenosha County;",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,250,100000
2023,March,03/10/2023,4:48 AM,03/10/2023,1:07 PM,"Texas: Webb County, Hidalgo County;",TRE,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,0,0
2023,March,03/10/2023,8:00 AM,03/10/2023,8:56 AM,Idaho: Ada County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,March,03/14/2023,8:00 AM,03/16/2023,8:20 AM,Connecticut: Massachusetts: Vermont: Rhode Island: New Hampshire: Maine:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,83000
2023,March,03/14/2023,9:25 AM,03/15/2023,3:00 PM,New York:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,Unknown
2023,March,03/16/2023,10:34 AM,03/16/2023,2:26 PM,Texas: Lubbock County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
