,,"OE-417 Electric Emergency and Disturbance (OE-417) Events, 2023",,,,,,,,,
Event Year,Event Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected
2023,April,04/11/2023,8:11 AM,Unknown,Unknown,Ohio: Kentucky:,RF,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,April,04/14/2023,5:30 AM,Unknown,Unknown,Florida: Orange County;,SERC, Cyber event that could potentially impact electric power system adequacy or reliability,Cyber Event,0,0
2023,April,04/15/2023,4:30 PM,04/15/2023,5:18 PM,Texas: Kentucky: New Mexico: Washington: Oregon: Arizona: California: Nebraska: Pennsylvania: Ohio:,TRE,Unplanned evacuation from its Bulk Electric System control center facility for 30 continuous minutes or more.,System Operations,0,0
2023,April,04/16/2023,7:17 AM,04/16/2023,2:00 PM,Texas: Louisiana: Arkansas: Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,Unknown,3900
2023,April,04/17/2023,5:30 AM,04/17/2023,2:00 PM,Florida: Alachua County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
2023,April,04/17/2023,12:17 PM,04/17/2023,5:12 PM,South Carolina: Aiken County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,39,8
2023,April,04/18/2023,8:00 AM,04/18/2023,8:01 AM,Texas: Travis County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
2023,April,04/18/2023,3:41 AM,04/18/2023,4:00 AM,Washington: King County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,April,04/18/2023,10:36 AM,04/19/2023,11:08 AM,South Dakota: Stanley County;,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",System Operations,4,1
2023,April,04/19/2023,3:15 PM,04/19/2023,3:59 PM,Washington: Snohomish County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,April,04/19/2023,11:13 PM,04/20/2023,5:24 PM,Texas: Calhoun County;,TRE,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,Transmission Interruption,Unknown,Unknown
2023,April,04/21/2023,6:02 AM,Unknown,Unknown,California:,WECC,Fuel supply emergencies that could impact electric power system adequacy or reliability,System Operations,0,0
2023,April,04/23/2023,9:22 AM,04/24/2023,5:49 PM,Washington: Mason County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,System Operations,25,Unknown
2023,April,04/25/2023,10:33 AM,04/25/2023,3:43 PM,Arizona: Maricopa County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,System Operations,0,0
2023,April,04/26/2023,12:31 PM,04/26/2023,2:15 PM,Idaho: Bonner County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,April,04/27/2023,11:00 AM,04/27/2023,11:14 AM,Texas: Blanco County;,TRE,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Vandalism,0,0
2023,April,04/27/2023,4:01 AM,04/28/2023,12:28 PM,California: Stanislaus County;,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,April,04/29/2023,12:00 AM,04/29/2023,8:00 PM,"Texas: Hidalgo County, Cameron County, Willacy County, Starr County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,168419
2023,May,5/1/2023,5:16 AM,5/1/2023,9:31 AM,Connecticut: Massachusetts: Rhode Island: Maine: New Hampshire: Vermont:,NPCC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,Unknown,54000
2023,May,5/2/2023,10:00 AM,5/2/2023,10:01 AM,Texas:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
2023,May,5/2/2023,11:29 AM,5/2/2023,3:36 PM,Ohio: Kentucky:,RF/SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Suspicious Activity,0,0
2023,May,5/4/2023,6:00 PM,5/4/2023,6:01 PM,Texas: San Patricio County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,May,5/11/2023,12:15 AM,5/18/2023,9:27 AM,Michigan: Eaton County;,RF ,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,Unknown,378
2023,May,5/11/2023,12:00 PM,5/11/2023,12:01 PM,Texas: Tarrant County;,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,May,5/12/2023,1:00 PM,5/12/2023,11:00 PM,Kentucky: Jefferson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,May,5/12/2023,11:43 AM,5/12/2023,12:00 PM,New York: Broome County;,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Suspicious Activity,0,0
2023,May,5/13/2023,7:25 AM,5/13/2023,12:10 PM,North Dakota: Williams County;,MRO,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Actual Physical Attack/Vandalism,8,327
2023,May,5/13/2023,6:27 AM,5/13/2023,3:27 PM,North Dakota: Williams County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,64,2
2023,May,5/13/2023,5:27 AM,Unknown,Unknown,North Dakota: Williams County;,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,166,327
2023,May,5/16/2023,2:45 PM,5/16/2023,3:10 PM,Oregon: Multnomah County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,Suspicious Activity,0,0
2023,May,5/21/2023,3:30 PM,5/21/2023,3:40 PM,Washington: Whatcom County;,WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,0,0
2023,May,5/22/2023,3:39 PM,5/22/2023,6:00 PM,Florida: Putnam County;,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Severe Weather,0,0
2023,May,5/23/2023,2:00 PM,Unknown,Unknown,North Dakota:,MRO,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,May,5/24/2023,7:45 AM,5/24/2023,6:52 PM,North Dakota:,MRO,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,0,0
2023,May,5/24/2023,9:16 AM,Unknown,Unknown,Iowa: Minnesota:,MRO,Complete operational failure or shut down of the transmission and/or distribution electrical system,System Operations,2200,Unknown
2023,May,5/26/2023,7:41 AM,5/26/2023,2:19 PM,Georgia: Gwinnett County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0
2023,May,5/28/2023,9:15 AM,5/28/2023,9:16 AM,Alabama: Tuscaloosa County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Actual Physical Attack/Vandalism,0,0
2023,May,5/30/2023,8:00 AM,5/30/2023,8:01 AM,Massachusetts: Hampden County[13];,NPCC,"Physical threat to its Bulk Electric System control center, excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the control center. Or suspicious device or activity at its Bulk Electric System control center.",Actual Physical Attack/Vandalism,0,0
2023,May,5/31/2023,11:00 AM,5/31/2023,11:48 PM,Florida: Alachua County;,SERC,Complete loss of Interpersonal Communication and Alternative Interpersonal Communication capability affecting its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0
2023,June,6/25/2023,6:45 AM,Unknown,Unknown,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,120000
2023,June,6/24/2023,6:17 PM,6/24/2023,11:25 PM,Michigan,RF,- 10. Suspected Physical Attack,- Vandalism - Theft,5,5200
2023,June,6/25/2023,5:30 PM,6/26/2023,3:31 PM,"Georgia, Alabama",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,Unknown
2023,June,6/25/2023,4:00 AM,Unknown,Unknown,"Wisconsin, Michigan",MRO/RF,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,175,70000
2023,June,6/25/2023,7:00 PM,Unknown,Unknown,Michigan,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,Unknown
2023,June,6/27/2023,1:43 PM,6/27/2023,1:44 PM,California,WECC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism,0,0
2023,June,6/25/2023,7:30 PM,6/26/2023,5:45 PM,"Arkansas, Mississippi",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,Unknown,64732
2023,June,6/27/2023,5:37 PM,6/27/2023,9:30 PM,"Washington, Idaho, Montana",WECC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Failure at high voltage substation or switchyard,0,0
2023,June,6/29/2023,3:42 PM,Unknown,Unknown,Indiana,RF,"Loss of electric service to more than 50,000 customers for 1 hour or more.",- Weather or natural disaster,Unknown,140000
2023,June,6/28/2023,11:01 AM,6/28/2023,11:03 AM,Georgia,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,- Vandalism - Theft,0,0
2023,June,6/22/2023,2:30 AM,6/22/2023,2:38 AM,Louisiana,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,17,6242
2023,June,6/20/2023,5:48 PM,6/20/2023,8:52 PM,Louisiana,SERC,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",- Transmission equipment failure,0,0
2023,June,6/30/2023,12:13 PM,Unknown,Unknown,Connecticut,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,- Unknown,0,0
